serial_num,car_model,description,price
1,Toyota Camry,"Toyota Camry (2019): The 2019 Toyota Camry is a reliable and stylish sedan that offers a comfortable and spacious interior, making every drive a pleasure. Equipped with a fuel-efficient engine, it delivers impressive performance without compromising on efficiency. With advanced safety features, such as lane departure warning and adaptive cruise control, the Camry ensures a secure driving experience.",23000
2,Honda Accord,"Honda Accord (2022): The 2022 Honda Accord combines sophistication and practicality in a sleek design. With a range of engine options, including hybrid variants, the Accord offers both power and efficiency. Its spacious cabin provides comfort for all occupants, while features like Apple CarPlay and Android Auto keep you connected on the go.",27000
3,Aston Martin Vantage,"Aston Martin Vantage (2010): The 2010 Aston Martin Vantage is a stunning luxury sports car that demands attention. Powered by a turbocharged V8 engine, it delivers exhilarating performance and precise handling. With its aggressive yet elegant design, the Vantage showcases Aston Martin's commitment to craftsmanship and engineering excellence.",65000
4,Chevrolet Corvette,"Chevrolet Corvette (2012): The 2012 Chevrolet Corvette is an iconic American sports car that embodies power and performance. With a mid-engine layout and a powerful V8 engine, it delivers thrilling acceleration and dynamic handling. The Corvette's sleek exterior design, advanced technology features, and comfortable interior make it an exceptional choice for driving enthusiasts.",33000
5,Ford Mustang,"Ford Mustang (2017): The 2017 Ford Mustang is a legendary muscle car that continues to impress with its timeless design and impressive performance. Available with multiple engine options, including a potent V8, the Mustang offers thrilling acceleration and a thrilling exhaust note. With its agile handling and modern features, it delivers a driving experience that captures the essence of American muscle.",19000
6,BMW 3 Series,"BMW 3 Series (2023): The 2023 BMW 3 Series is a luxury sedan that combines elegance with sportiness. With a range of engine options, including powerful turbocharged engines, it offers a dynamic driving experience. The 3 Series features BMW's signature handling precision and a comfortable interior with advanced technology, making it a standout choice in its class.",54000
7,Mercedes-Benz C-Class,"Mercedes-Benz C-Class (2020): The 2020 Mercedes-Benz C-Class is a premium sedan that offers a blend of luxury and performance. With a refined and stylish design, it exudes sophistication. The C-Class is equipped with a range of engine options, including hybrid variants, providing impressive power and efficiency. Inside, you'll find a lavish interior with cutting-edge technology and advanced driver-assistance features.",24000
8,Audi A4,"Audi A4 (2018): The 2018 Audi A4 is a luxury sedan that combines elegant design, refined performance, and advanced technology. With its turbocharged engine options, the A4 delivers both power and efficiency. The interior offers a seamless blend of comfort and sophistication, while the latest driver-assistance features ensure a safe and enjoyable driving experience.",17000
9,Volkswagen Golf,"Volkswagen Golf (2005): The 2005 Volkswagen Golf is a compact hatchback that offers a perfect balance of practicality and fun. With its nimble handling and responsive engines, it provides an enjoyable driving experience. The Golf's versatile interior provides ample space for passengers and cargo, while its advanced safety features and modern infotainment system keep you connected and secure.",4000
10,Nissan Altima,"Nissan Altima (2015): The 2015 Nissan Altima is a stylish and dependable sedan that excels in comfort and performance. Equipped with a range of engine options, including a fuel-efficient turbocharged engine, it offers a smooth and efficient ride. The Altima features a spacious interior with modern technology, including a user-friendly infotainment system, making it a practical and enjoyable choice for daily driving.",9000
11,Subaru Outback,"Subaru Outback (2018): This used 2018 Subaru Outback is a versatile and capable crossover SUV that offers a spacious interior and impressive off-road capabilities. Powered by a fuel-efficient engine, it delivers reliable performance in various driving conditions. With its renowned Symmetrical All-Wheel Drive system, this Outback provides enhanced traction and stability. Mileage: Approximately 50,000 miles.",15000
